incident_num,defendant_id,arraignment_date,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,gender,race,judge_id,arraignment_data
19BU004933,Defendant970,3/28/2019,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,1,0,Male,White,Judge10,TRUE
19BU006063,Defendant622,3/28/2019,Stalking - Aggravated,2,1,0,0,0,No Bail,4,0,0,Male,White,Judge10,TRUE
19BU006273,Defendant463,4/1/2019,"Driving Under The Influence, First Offense",2,0,0,0,0,No Bail,3,0,0,Female,White,Judge10,TRUE
19SB003211,Defendant997,4/1/2019,Assault And Robbery,2,1,0,1,50,Bail,5,0,0,Male,White,Judge10,TRUE
19 BU006411,Defendant626,4/1/2019,Unlawful Mischief (Misdemeanor),2,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,TRUE
19BU006449,Defendant505,4/2/2019,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge7,TRUE
18BU028260,Defendant364,4/2/2019,Bad Checks,2,0,NA,0,0,No Bail,2,0,1,Female,White,Judge7,TRUE
19BU003558,Defendant47,4/2/2019,Driving Under The Influence; Second And Subsequent Offense,2,0,0,0,0,No Bail,3,0,1,Male,White,Judge7,TRUE
19BU002709,Defendant156,4/2/2019,Disorderly Conduct - All Other,1,0,1,1,200,Bail,1,1,2,Male,White,Judge7,TRUE
19BU006545,Defendant737,4/3/2019,Probation-Parole Violation,1,0,0,1,500,Bail,3,0,6,Male,White,Judge7,TRUE
19BU006544,Defendant256,4/3/2019,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,0,1,Male,White,Judge7,TRUE
19BU004770,Defendant503,4/4/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,2,Female,White,Judge14,TRUE
19BU005531,Defendant659,4/4/2019,Unlawful Trespass (Misdemeanor),2,0,1,0,0,No Bail,1,1,6,Male,White,Judge14,TRUE
